name,type,start_time,duration,"protected_id","data","index","byte_framing_error","header_sync_expected","checksum","checksum_mismatch"
"LIN","header_break",0.019344875,0.000806938,,,,,,,
"LIN","header_sync",0.020230375,0.000494563,,,,,,,
"LIN","header_pid",0.02075125,0.000494563,0x000000000000003D,,,,,,
"LIN","header_break",0.02926725,0.000777562,,,,,,,
"LIN","header_sync",0.03015275,0.000494563,,,,,,,
"LIN","header_pid",0.030673688,0.000494563,0x000000000000000F,,,,,,
"LIN","header_break",0.069270562,0.0007775,,,,,,,
"LIN","header_sync",0.070156063,0.000494562,,,,,,,
"LIN","header_pid",0.070676937,0.000494563,0x000000000000003D,,,,,,
"LIN","header_break",0.079364875,0.000777563,,,,,,,
"LIN","header_sync",0.080250375,0.000494563,,,,,,,
"LIN","header_pid",0.080771312,0.000494563,0x000000000000001C,,,,,,
"LIN","data",0.081302187,0.000494563,,0x00000000000000FE,0x0000000000000000,,,,
"LIN","data",0.081822937,0.000494563,,0x00000000000000FC,0x0000000000000001,,,,
"LIN","data",0.082343875,0.000494563,,0x0000000000000001,0x0000000000000002,,,,
"LIN","data",0.08286475,0.000494563,,0x00000000000000F8,0x0000000000000003,,,,
"LIN","data_or_checksum",0.083385687,0.000494563,,0x000000000000006D,0x0000000000000004,,,0x000000000000006D,
"LIN","header_break",0.119393375,0.0007775,,,,,,,
"LIN","header_sync",0.120278875,0.000494563,,,,,,,
"LIN","header_pid",0.12079975,0.000494563,0x000000000000003D,,,,,,
"LIN","header_break",0.129302937,0.000777563,,,,,,,
"LIN","header_sync",0.130188438,0.000494563,,,,,,,
"LIN","header_pid",0.130709375,0.000494563,0x000000000000000F,,,,,,
"LIN","header_break",0.169279,0.0007775,,,,,,,
"LIN","header_sync",0.1701645,0.000494563,,,,,,,
"LIN","header_pid",0.170685375,0.000494563,0x000000000000003D,,,,,,
"LIN","header_break",0.179328313,0.0007775,,,,,,,
"LIN","header_sync",0.180213812,0.000494563,,,,,,,
"LIN","header_pid",0.180734687,0.000494563,0x000000000000001C,,,,,,
"LIN","data",0.18126275,0.000494562,,0x00000000000000FE,0x0000000000000000,,,,
"LIN","data",0.181783125,0.000494563,,0x00000000000000FC,0x0000000000000001,,,,
"LIN","data",0.182304,0.000494563,,0x0000000000000001,0x0000000000000002,,,,
"LIN","data",0.182824938,0.000494563,,0x00000000000000F8,0x0000000000000003,,,,
"LIN","data_or_checksum",0.183345813,0.000494562,,0x000000000000006D,0x0000000000000004,,,0x000000000000006D,
"LIN","header_break",0.219361125,0.0007775,,,,,,,
"LIN","header_sync",0.220246625,0.000494563,,,,,,,
"LIN","header_pid",0.2207675,0.000494562,0x000000000000003D,,,,,,
"LIN","header_break",0.229283938,0.000777562,,,,,,,
"LIN","header_sync",0.230169437,0.000494563,,,,,,,
"LIN","header_pid",0.230690375,0.000494562,0x000000000000000F,,,,,,
"LIN","header_break",0.269286,0.000777563,,,,,,,
"LIN","header_sync",0.2701715,0.000494562,,,,,,,
"LIN","header_pid",0.270692437,0.000494563,0x000000000000003D,,,,,,
"LIN","header_break",0.27927075,0.000777562,,,,,,,
"LIN","header_sync",0.280156313,0.000494563,,,,,,,
"LIN","header_pid",0.280677187,0.000494562,0x000000000000001C,,,,,,
"LIN","data",0.281207,0.000494563,,0x00000000000000FE,0x0000000000000000,,,,
"LIN","data",0.281725563,0.000494562,,0x00000000000000FC,0x0000000000000001,,,,
"LIN","data",0.2822465,0.000494562,,0x0000000000000001,0x0000000000000002,,,,
"LIN","data",0.282767375,0.000494562,,0x00000000000000F8,0x0000000000000003,,,,
"LIN","data_or_checksum",0.283288312,0.000494563,,0x000000000000006D,0x0000000000000004,,,0x000000000000006D,
"LIN","header_break",0.319409875,0.0007775,,,,,,,
"LIN","header_sync",0.320295375,0.000494563,,,,,,,
"LIN","header_pid",0.32081625,0.000494562,0x000000000000003D,,,,,,
"LIN","header_break",0.32934,0.000777562,,,,,,,
"LIN","header_sync",0.3302255,0.000494563,,,,,,,
"LIN","header_pid",0.330746437,0.000494562,0x000000000000000F,,,,,,
"LIN","header_break",0.36929375,0.0007775,,,,,,,
"LIN","header_sync",0.37017925,0.000494562,,,,,,,
"LIN","header_pid",0.370700125,0.000494562,0x000000000000003D,,,,,,
"LIN","header_break",0.379280625,0.000777562,,,,,,,
"LIN","header_sync",0.380166125,0.000494562,,,,,,,
"LIN","header_pid",0.380687063,0.000494562,0x000000000000001C,,,,,,
"LIN","data",0.381216375,0.000494563,,0x00000000000000FE,0x0000000000000000,,,,
"LIN","data",0.381735437,0.000494563,,0x00000000000000FC,0x0000000000000001,,,,
"LIN","data",0.382256312,0.000494563,,0x0000000000000001,0x0000000000000002,,,,
"LIN","data",0.38277725,0.000494562,,0x00000000000000F8,0x0000000000000003,,,,
"LIN","data_or_checksum",0.383298187,0.000494563,,0x000000000000006D,0x0000000000000004,,,0x000000000000006D,
"LIN","header_break",0.419414937,0.0007775,,,,,,,
"LIN","header_sync",0.420300438,0.000494562,,,,,,,
"LIN","header_pid",0.420821312,0.000494563,0x000000000000003D,,,,,,
"LIN","header_break",0.429355875,0.000777562,,,,,,,
"LIN","header_sync",0.430241437,0.000494562,,,,,,,
"LIN","header_pid",0.430762313,0.000494562,0x000000000000000F,,,,,,
"LIN","header_break",0.469301937,0.0007775,,,,,,,
"LIN","header_sync",0.470187438,0.000494562,,,,,,,
"LIN","header_pid",0.470708375,0.000494562,0x000000000000003D,,,,,,
"LIN","header_break",0.479334563,0.000777562,,,,,,,
"LIN","header_sync",0.480220062,0.000494563,,,,,,,
"LIN","header_pid",0.480741,0.000494563,0x000000000000001C,,,,,,
"LIN","data",0.481271312,0.000494563,,0x00000000000000FE,0x0000000000000000,,,,
"LIN","data",0.481789375,0.000494562,,0x00000000000000FC,0x0000000000000001,,,,
"LIN","data",0.48231025,0.000494563,,0x0000000000000001,0x0000000000000002,,,,
"LIN","data",0.482831187,0.000494562,,0x00000000000000F8,0x0000000000000003,,,,
"LIN","data_or_checksum",0.483352125,0.000494562,,0x000000000000006D,0x0000000000000004,,,0x000000000000006D,
"LIN","header_break",0.51942125,0.000777563,,,,,,,
"LIN","header_sync",0.52030675,0.000494562,,,,,,,
"LIN","header_pid",0.520827687,0.000494562,0x000000000000003D,,,,,,
"LIN","header_break",0.529353188,0.0007775,,,,,,,
"LIN","header_sync",0.530238688,0.000494562,,,,,,,
"LIN","header_pid",0.530759563,0.000494563,0x000000000000000F,,,,,,
"LIN","header_break",0.569309313,0.000777562,,,,,,,
"LIN","header_sync",0.570194813,0.000494563,,,,,,,
"LIN","header_pid",0.57071575,0.000494563,0x000000000000003D,,,,,,
"LIN","header_break",0.579398312,0.000777563,,,,,,,
"LIN","header_sync",0.580283875,0.000494563,,,,,,,
"LIN","header_pid",0.58080475,0.000494563,0x000000000000001C,,,,,,
"LIN","data",0.58133275,0.000494563,,0x00000000000000FE,0x0000000000000000,,,,
"LIN","data",0.581853125,0.000494563,,0x00000000000000FC,0x0000000000000001,,,,
"LIN","data",0.582374063,0.000494563,,0x0000000000000001,0x0000000000000002,,,,
"LIN","data",0.582894937,0.000494563,,0x00000000000000F8,0x0000000000000003,,,,
