"Time Stamp",ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1392556,00000006,false,Rx,0,0,00,00,00,00,00,00,00,00
1402563,00000005,false,Rx,0,0,00,00,00,00,00,00,00,00
1432561,00000022,false,Rx,0,5,F8,52,28,98,02,00,00,00
1442574,00000009,false,Rx,0,8,01,40,30,00,03,00,FA,FA
1472579,00000029,false,Rx,0,8,05,00,F0,00,00,50,23,00
1492563,00000006,false,Rx,0,0,00,00,00,00,00,00,00,00
1502567,00000005,false,Rx,0,0,00,00,00,00,00,00,00,00
1522564,00000017,false,Rx,0,8,20,FF,11,00,00,FF,FF,FC
1532565,00000022,false,Rx,0,5,F7,52,28,99,02,00,00,00
1542575,00000009,false,Rx,0,8,01,40,30,00,03,00,FA,FA
1552556,00000018,false,Rx,0,8,00,00,E0,58,7D,08,20,FC
1562553,00000034,false,Rx,0,0,00,00,00,00,00,00,00,00
1572576,00000029,false,Rx,0,8,05,00,F0,00,00,50,23,00
1592557,00000006,false,Rx,0,0,00,00,00,00,00,00,00,00
1602558,00000005,false,Rx,0,0,00,00,00,00,00,00,00,00
1632565,00000022,false,Rx,0,5,F8,52,28,98,02,00,00,00
1642579,00000009,false,Rx,0,8,01,40,30,00,03,00,FA,FA
1672580,00000029,false,Rx,0,8,05,00,F0,00,00,50,23,00
1692568,00000006,false,Rx,0,0,00,00,00,00,00,00,00,00
1702562,00000005,false,Rx,0,0,00,00,00,00,00,00,00,00
1722566,00000017,false,Rx,0,8,20,FF,11,00,00,FF,FF,FC
1732569,00000022,false,Rx,0,5,F8,52,28,98,02,00,00,00
1742580,00000009,false,Rx,0,8,01,40,30,00,03,00,FA,FA
1752557,00000018,false,Rx,0,8,00,00,E0,59,7D,08,20,FC
1762574,00000033,false,Rx,0,4,00,C0,00,03,00,00,00,00
1772626,00000029,false,Rx,0,8,05,00,F0,00,00,50,23,00
1792559,00000006,false,Rx,0,0,00,00,00,00,00,00,00,00
1802569,00000005,false,Rx,0,0,00,00,00,00,00,00,00,00
1832567,00000022,false,Rx,0,5,F8,52,28,98,02,00,00,00
1842580,00000009,false,Rx,0,8,01,40,30,00,03,00,FA,FA
1872585,00000029,false,Rx,0,8,05,00,F0,00,00,50,23,00
1892569,00000006,false,Rx,0,0,00,00,00,00,00,00,00,00
1902573,00000005,false,Rx,0,0,00,00,00,00,00,00,00,00
1922570,00000017,false,Rx,0,8,20,FF,11,00,00,FF,FF,FC
1932571,00000022,false,Rx,0,5,F8,52,28,98,02,00,00,00
1942581,00000009,false,Rx,0,8,01,40,30,00,03,00,FA,FA
1952562,00000018,false,Rx,0,8,00,00,E0,59,7D,08,20,FC
1962559,00000034,false,Rx,0,0,00,00,00,00,00,00,00,00
1972582,00000029,false,Rx,0,8,05,00,F0,00,00,50,23,00
1992563,00000006,false,Rx,0,0,00,00,00,00,00,00,00,00
2002564,00000005,false,Rx,0,0,00,00,00,00,00,00,00,00
2032568,00000022,false,Rx,0,5,F8,52,28,98,02,00,00,00
2042585,00000009,false,Rx,0,8,01,40,30,00,03,00,FA,FA
2072586,00000029,false,Rx,0,8,05,00,F0,00,00,50,23,00
2092571,00000006,false,Rx,0,0,00,00,00,00,00,00,00,00
2102568,00000005,false,Rx,0,0,00,00,00,00,00,00,00,00
2122572,00000017,false,Rx,0,8,20,FF,11,00,00,FF,FF,FC
2132618,00000022,false,Rx,0,5,F8,52,28,98,02,00,00,00
2142586,00000009,false,Rx,0,8,01,40,30,00,03,00,FA,FA
2152563,00000018,false,Rx,0,8,00,00,E0,58,7D,08,20,FC
2162580,00000033,false,Rx,0,4,00,C0,00,03,00,00,00,00
2172587,00000029,false,Rx,0,8,05,00,F0,00,00,50,23,00
2192565,00000006,false,Rx,0,0,00,00,00,00,00,00,00,00
2202575,00000005,false,Rx,0,0,00,00,00,00,00,00,00,00
2232573,00000022,false,Rx,0,5,F8,52,28,99,02,00,00,00
2242586,00000009,false,Rx,0,8,01,40,30,00,03,00,FA,FA
2272636,00000029,false,Rx,0,8,05,00,F0,00,00,50,23,00
2292601,00000006,false,Rx,0,0,00,00,00,00,00,00,00,00
2302579,00000005,false,Rx,0,0,00,00,00,00,00,00,00,00
2322577,00000017,false,Rx,0,8,20,FF,11,00,00,FF,FF,FC
2332577,00000022,false,Rx,0,5,F8,52,28,98,02,00,00,00
2342587,00000009,false,Rx,0,8,01,40,30,00,03,00,FA,FA
2352568,00000018,false,Rx,0,8,00,00,E0,59,7D,08,20,FC
2362565,00000034,false,Rx,0,0,00,00,00,00,00,00,00,00
2372585,00000029,false,Rx,0,8,05,00,F0,00,00,50,23,00
2392570,00000006,false,Rx,0,0,00,00,00,00,00,00,00,00
2402570,00000005,false,Rx,0,0,00,00,00,00,00,00,00,00
2432574,00000022,false,Rx,0,5,F8,52,28,99,02,00,00,00
